ID_FACTURA,N_PLATO,NUM_PEDIDOS,ID_RESTAURANTE
Z9250121,Ensalada fresca,1,QB003AR
Z9250121,Merluza al vapor,2,QB003AR
Z9250121,Vino por copa,2,QB003AR
E9300421,Ensalada de mercado,2,AM002CM
E9300421,Arroz meloso,1,AM002CM
E9300421,Cerveza,2,AM002CM
C2210823,Ensalada canaria,1,HP002CN
C2210823,Bacalao al mojo,2,HP002CN
C2210823,Cerveza artesana,2,HP002CN
J7020618,Entrante gallego,2,PA003GA
J7020618,Merluza en salsa,1,PA003GA
J7020618,Vino Ribeiro,2,PA003GA
Z5280221,Ensalada riojana,1,LR001RI
Z5280221,Bacalao al ajoarriero,2,LR001RI
Z5280221,Copa rioja,2,LR001RI
W2100625,Entrante mercado,2,GN003RI
W2100625,Arroz verduras,1,GN003RI
W2100625,Copa vino,2,GN003RI
H7190217,Jamón Ibérico,1,TC001CN
H7190217,Ravioli mar,2,TC001CN
H7190217,Crema queso,1,TC001CN
M0120925,Montadito jamón,3,CM001MD
M0120925,Montadito chistorra,2,CM001MD
M0120925,Cerveza,3,CM001MD
W4090625,Ensalada de autor,1,MN003CT
W4090625,Arroz negro,2,MN003CT
W4090625,Carrillera ibérica,2,MN003CT
V9060125,Annua tasting,2,AS002CB
V9060125,Arroz caldoso,1,AS002CB
V9060125,Copa vino,2,AS002CB
O1210524,Ensalada creativa,1,SB002EX
O1210524,Secreto ibérico,3,SB002EX
O1210524,Postre del chef,2,SB002EX
W9011215,Ensalada de mar,2,GL002AS
W9011215,Bocadillo gourmet,1,GL002AS
W9011215,Postre casero,2,GL002AS
G2060724,Entrante manchego,2,LC001CM
G2060724,Guiso tradicional,1,LC001CM
G2060724,Copa de vino,2,LC001CM
D6180821,Jamón Ibérico,1,CA001VC
D6180821,Arròs melòs,2,CA001VC
D6180821,Copa de vino,2,CA001VC
A1020918,Ensalada de naranja,2,AA002AN
A1020918,Solomillo ibérico,1,AA002AN
A1020918,Milhojas chocolate,2,AA002AN
B5290922,Jamón Ibérico,1,AP001AN
B5290922,Arroz de marisco,2,AP001AN
B5290922,Mejillones escabeche,1,AP001AN
M5030824,Entrante autor,2,LM002MU
M5030824,Plato pescado,1,LM002MU
M5030824,Bebida local,2,LM002MU
V7160524,Telepizza margarita,1,TP001MD
V7160524,Telepizza pepperoni,2,TP001MD
V7160524,Postre helado,2,TP001MD
U0281121,Costillas amer.,2,FM001AS
U0281121,Nachos,1,FM001AS
U0281121,Cerveza,3,FM001AS
F6140625,Entrante autor,1,LM002MU
F6140625,Principal degustación,2,LM002MU
F6140625,Postre creat,1,LM002MU
Z1121115,Entrante fusión,2,TR003EX
Z1121115,Plato principal,1,TR003EX
Z1121115,Bebida refresco,2,TR003EX
S4160718,Jamón Ibérico,1,JR001CB
S4160718,Tosta anchoa,2,JR001CB
S4160718,Vino tinto,2,JR001CB
S7090218,Jamón Ibérico,2,AB001CT
S7090218,Tosta de foie,1,AB001CT
S7090218,Arroz caldoso,2,AB001CT
E6100617,Taco creativo,1,DR001MD
E6100617,Ceviche corvina,2,DR001MD
E6100617,Coulant chocolate,1,DR001MD
X3090118,Ginos pizza quattro,2,GN001AN
X3090118,Spaghetti al pesto,1,GN001AN
X3090118,Tiramisu,2,GN001AN
U3311022,Jamón Ibérico,1,RE003MD
U3311022,Sopa de mariscos,2,RE003MD
U3311022,Helado vainilla,1,RE003MD
H4261115,Jamón Ibérico,2,EO001AR
H4261115,Taco aragonés,1,EO001AR
H4261115,Copa vino,2,EO001AR
U9260320,Tagliatella carbonara,1,TT001VC
U9260320,Bruschetta,2,TT001VC
U9260320,Tiramisú,2,TT001VC
W5040118,Jamón Ibérico,1,EO001AR
W5040118,Taco aragonés,2,EO001AR
W5040118,Trucha a la navarra,1,EO001AR
W5090715,Jamón Ibérico,2,AA003PV
W5090715,Txangurro gratinado,1,AA003PV
W5090715,Bizcocho mantequilla,2,AA003PV
O4170322,Jamón Ibérico,1,CA001VC
O4170322,Arròs melòs,2,CA001VC
O4170322,Bacalao al pilpil,2,CA001VC
M3050723,Jamón Ibérico,1,AZ002PV
M3050723,Rollo de txangurro,3,AZ002PV
M3050723,Arroz de plancton,2,AZ002PV
V8100425,Ensalada catalana,2,CD002CT
V8100425,Ravioli setas,1,CD002CT
V8100425,Vino por copa,2,CD002CT
F8290120,Entrante casa,1,BL003CB
F8290120,Bacalao dorado,2,BL003CB
F8290120,Refresco,2,BL003CB
O1130924,Jamón Ibérico,1,VA001IB
O1130924,Arroz marinero,2,VA001IB
O1130924,Lubina playa,1,VA001IB
Q4280116,Jamón Ibérico,2,TC001CN
Q4280116,Ravioli mar,1,TC001CN
Q4280116,Lomo vaca,2,TC001CN
S5170422,Jamón Ibérico,1,AZ002PV
S5170422,Rollo de txangurro,2,AZ002PV
S5170422,Lubina al horno,2,AZ002PV
R0180821,Jamón Ibérico,2,LH001GA
R0180821,Pulpo braseado,1,LH001GA
R0180821,Tarta queso,2,LH001GA
P4280821,Entrante casa,1,BL003CB
P4280821,Bacalao dorado,2,BL003CB
P4280821,Postre casero,1,BL003CB
L0300615,Entrante mallorquín,2,MM002IB
L0300615,Caldereta pescado,1,MM002IB
L0300615,Helado local,2,MM002IB
U0170623,Ensalada canaria,1,HP002CN
U0170623,Bacalao al mojo,2,HP002CN
U0170623,Pescado del día,2,HP002CN
H5190219,Ensalada de mercado,1,AM002CM
H5190219,Arroz meloso,2,AM002CM
H5190219,Tarta queso,1,AM002CM
L3150223,Jamón Ibérico,2,AB001CT
L3150223,Arroz caldoso,1,AB001CT
L3150223,Panna cotta,2,AB001CT
I5101025,Entrante navarro,1,BR002NA
I5101025,Txuletón,3,BR002NA
I5101025,Tarta casera,2,BR002NA
K5210216,Entrante contemporáneo,1,JO003IB
K5210216,Ravioli mar,2,JO003IB
K5210216,Solomillo,2,JO003IB
A1030825,Jamón Ibérico,1,RQ002VC
A1030825,Sang amb ceba,2,RQ002VC
A1030825,Postre cítrico,1,RQ002VC
K1011120,Ensalada templada,2,LR003VC
K1011120,Merluza al horno,1,LR003VC
K1011120,Magret pato,2,LR003VC
L1221023,Tagliatella carbonara,1,TT001VC
L1221023,Lasaña,2,TT001VC
L1221023,Vino italiano,2,TT001VC
L2110424,Jamón Ibérico,2,JR001CB
L2110424,Tosta anchoa,1,JR001CB
L2110424,Rabo toro,2,JR001CB
P6220821,Ensalada canaria,1,HP002CN
P6220821,Bacalao al mojo,2,HP002CN
P6220821,Dulce de leche,2,HP002CN
V8140823,Jamón Ibérico,1,TC001CN
V8140823,Ravioli mar,2,TC001CN
V8140823,Copa vino,1,TC001CN
Y9080225,Jamón Ibérico,2,AP001AN
Y9080225,Arroz de marisco,1,AP001AN
Y9080225,Helado marino,2,AP001AN
Q0090917,Ensalada de autor,1,MN003CT
Q0090917,Arroz negro,2,MN003CT
Q0090917,Mousse chocolate,1,MN003CT
T0271220,Jamón Ibérico,2,JR001CB
T0271220,Tosta anchoa,1,JR001CB
T0271220,Crema catalana,2,JR001CB
A6280217,Entrante creativa,1,TR002AR
A6280217,Secreto ibérico,2,TR002AR
A6280217,Postre del día,1,TR002AR
O3020616,Jamón Ibérico,1,AA003PV
O3020616,Txangurro gratinado,2,AA003PV
O3020616,Merluza Arzak,2,AA003PV
